# File Name: /shared/data/ui/current_run/01-15-2025-MX1-IFNa-IFNb-A549-Amel2_20250116_144056.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3N02Y17
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block Serial Number: 2778322122567
# Run Start Date/Time: 2025-01-16 04:41:55 PM EST
# Run End Date/Time: 2025-01-16 05:32:57 PM EST
# Run Duration: 51 minutes 1 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-16 05:33:25 PM EST
# Exported On: 2025-01-16 05:33:26 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"58","C10","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3890018165167355","","","28.767143664808394","0.9106137990825355","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","22"
"59","C11","false","Sample 3","IFNb1","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","10459.134441064032","true","3","39"
"59","C11","false","Sample 3","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3968336527559395","","","28.699454060114824","0.9397434141346598","28.7620840274836","0.1871043418348087","true","12679.83571224284","true","3","20"
"73","D1","false","Sample 4","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6193868683371115","","","30.70586838603625","0.9605868120201779","30.69240826708464","0.07066062749337847","true","30232.787256606887","true","3","23"
"73","D1","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3531541526023165","","","28.130599196061134","0.9424924496642917","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","22"
"74","D2","false","Sample 4","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.628182184879033","","","30.61598571751187","0.9553395275537936","30.69240826708464","0.07066062749337847","true","30232.787256606887","true","3","24"
"74","D2","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.373756458112688","","","28.335142263057293","0.9322545479182818","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","20"
"75","D3","false","Sample 4","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6354819651143977","","","30.755370697705807","0.9597503190053838","30.69240826708464","0.07066062749337847","true","30232.787256606887","true","3","21"
"75","D3","false","Sample 4","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3792106185474124","","","28.05955274202529","0.9185803475466202","28.118437632410743","0.14611190938446347","true","12679.83571224284","true","3","22"
"77","D5","false","Sample 4","IFNa2","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","18886.582361434972","true","3","11"
